# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
63100 -2846.41 -546.35 -2.17548
63200 -2852.98 -552.577 -2.19137
63300 -2858.64 -557.539 -2.18366
63400 -2864.47 -562.531 -2.15159
63500 -2870.93 -568.913 -2.09589
63600 -2876.69 -575.284 -2.01634
63700 -2881.37 -580.495 -1.91484
63800 -2886.68 -585.699 -1.79292
63900 -2892.83 -591.906 -1.65437
64000 -2897.99 -597.838 -1.50117
64100 -2901.92 -602.946 -1.33743
64200 -2906.72 -608.273 -1.16591
64300 -2912.58 -614.146 -0.99227
64400 -2917.45 -619.273 -0.820033
64500 -2921.11 -623.883 -0.654396
64600 -2925.68 -629.132 -0.497619
64700 -2931.29 -634.624 -0.354001
64800 -2936.09 -638.874 -0.226182
64900 -2939.97 -642.737 -0.120071
65000 -2944.74 -647.603 -0.0392437
65100 -2950.19 -652.51 0.0159454
65200 -2954.97 -655.798 0.0456548
65300 -2959.38 -658.605 0.046293
65400 -2964.67 -662.665 0.0178203
65500 -2970.16 -666.862 -0.0406406
65600 -2974.88 -669.279 -0.129556
65700 -2979.84 -671.05 -0.246121
65800 -2985.84 -673.888 -0.383275
65900 -2991.55 -676.695 -0.54302
66000 -2996.17 -677.91 -0.726556
66100 -3001.42 -678.504 -0.931508
66200 -3008.07 -679.847 -1.1531
66300 -3014.07 -680.809 -1.38463
66400 -3018.67 -680.452 -1.62139
66500 -3024.01 -679.806 -1.86112
66600 -3030.9 -679.518 -2.09754
66700 -3036.98 -678.267 -2.31831
66800 -3041.56 -676.021 -2.51873
66900 -3046.74 -673.995 -2.70246
67000 -3053.24 -672.14 -2.86332
67100 -3058.97 -668.725 -2.99448
67200 -3063.42 -664.471 -3.09166
67300 -3068.38 -661.141 -3.15408
67400 -3074.12 -658.157 -3.18034
67500 -3079 -653.475 -3.17034
67600 -3083.18 -647.941 -3.12457
67700 -3087.95 -643.671 -3.04608
67800 -3092.88 -639.986 -2.93674
67900 -3096.8 -634.779 -2.7997
68000 -3100.61 -628.995 -2.63933
68100 -3105.28 -624.508 -2.46132
68200 -3109.71 -620.673 -2.26906
68300 -3112.94 -615.864 -2.06751
68400 -3116.42 -610.845 -1.86003
68500 -3121.03 -606.885 -1.65188
68600 -3125.28 -603.316 -1.44582
68700 -3128.24 -599.212 -1.24587
68800 -3131.54 -595.372 -1.05405
68900 -3136.07 -592.371 -0.873972
69000 -3140.28 -589.325 -0.707197
69100 -3143.34 -585.964 -0.556187
69200 -3146.71 -583.328 -0.42146
69300 -3151.14 -581.47 -0.304545
69400 -3155.33 -579.167 -0.205696
69500 -3158.69 -576.54 -0.125858
69600 -3162.36 -574.931 -0.0645237
69700 -3166.78 -574.155 -0.0216093
69800 -3170.87 -572.728 0.00366212
69900 -3174.55 -570.878 0.0115554
70000 -3178.69 -570.095 0.00312121
70100 -3183.21 -570.182 -0.0205192
70200 -3187.2 -569.632 -0.0578311
70300 -3191.1 -568.638 -0.10755
70400 -3195.71 -568.572 -0.168249
70500 -3200.46 -569.251 -0.238268
70600 -3204.43 -569.43 -0.315663
70700 -3208.44 -569.324 -0.398554
70800 -3213.42 -569.948 -0.485222
70900 -3218.45 -571.003 -0.573824
71000 -3222.51 -571.666 -0.662301
71100 -3226.64 -572.364 -0.748643
